CityName,PinCode,Name of Location ,Region,COD,zone_id,Provider
Connaught Place - DEL,110001,Baroda House,North,1,1483,ARAMEX
Connaught Place - DEL,110002,Indraprastha,North,1,1483,ARAMEX
Connaught Place - DEL,110003,Lodi Road ,North,1,1483,ARAMEX
Connaught Place - DEL,110004,Rashtrapati Bhawan ,North,1,1483,ARAMEX
Connaught Place - DEL,110005,Anand Parbat,North,1,1483,ARAMEX
Connaught Place - DEL,110006,Baratooti ,North,1,1483,ARAMEX
North Delhi,110007,Mayapuri,North,1,1483,ARAMEX
Connaught Place - DEL,110008,Patel Nagar ,North,1,1483,ARAMEX
North West Delhi,110009,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110010,Mahipalpur,North,1,1483,ARAMEX
Connaught Place - DEL,110011,Nirman Bhawan,North,1,1483,ARAMEX
Central Delhi,110012,Mayapuri,North,1,1483,ARAMEX
South Delhi,110013,Nehru Place - Del,North,1,1483,ARAMEX
South Delhi,110014,Nehru Place - Del,North,1,1483,ARAMEX
West Delhi,110015,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110016,Mahipalpur,North,1,1483,ARAMEX
South Delhi,110017,Nehru Place - Del,North,1,1483,ARAMEX
West Delhi,110018,Mayapuri,North,1,1483,ARAMEX
South Delhi,110019,Nehru Place - Del,North,1,1483,ARAMEX
South Delhi,110020,Nehru Place - Del,North,1,1483,ARAMEX
South West Delhi,110021,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110022,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110023,Nehru Place - Del,North,1,1483,ARAMEX
South Delhi,110024,Nehru Place - Del,North,1,1483,ARAMEX
South Delhi,110025,Nehru Place - Del,North,1,1483,ARAMEX
West Delhi,110026,Mayapuri,North,1,1483,ARAMEX
West Delhi,110027,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110028,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110029,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110030,Mahipalpur,North,1,1483,ARAMEX
East Delhi,110031,East Delhi,North,1,1483,ARAMEX
North East Delhi,110032,East Delhi,North,1,1483,ARAMEX
North West Delhi,110033,Mayapuri,North,1,1483,ARAMEX
North West Delhi,110034,Mayapuri,North,1,1483,ARAMEX
North West Delhi,110035,Mayapuri,North,1,1483,ARAMEX
North West Delhi,110036,Rithala,North,1,1483,ARAMEX
South West Delhi,110037,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110038,Mahipalpur,North,1,1483,ARAMEX
North West Delhi,110039,Rithala,North,1,1483,ARAMEX
North West Delhi,110040,Rithala,North,1,1483,ARAMEX
West Delhi,110041,Mayapuri,North,1,1483,ARAMEX
North West Delhi,110042,Rithala,North,1,1483,ARAMEX
South West Delhi,110043,Mahipalpur,North,1,1483,ARAMEX
South Delhi,110044,Nehru Place - Del,North,1,1483,ARAMEX
South West Delhi,110045,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110046,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110047,Mahipalpur,North,1,1483,ARAMEX
South Delhi,110048,Nehru Place - Del,North,1,1483,ARAMEX
South Delhi,110049,Nehru Place - Del,North,1,1483,ARAMEX
Connaught Place - DEL,110050,Connaught Place - Del,North,1,1483,ARAMEX
East Delhi,110051,East Delhi,North,1,1483,ARAMEX
North West Delhi,110052,Mayapuri,North,1,1483,ARAMEX
North East Delhi,110053,East Delhi,North,1,1483,ARAMEX
North Delhi,110054,Mayapuri,North,1,1483,ARAMEX
Connaught Place - DEL,110055,A.K.Market ,North,1,1483,ARAMEX
North West Delhi,110056,Mayapuri,North,1,1483,ARAMEX
South West Delhi,110057,Mahipalpur,North,1,1483,ARAMEX
West Delhi,110058,Mayapuri,North,1,1483,ARAMEX
West Delhi,110059,Mahipalpur,North,1,1483,ARAMEX
Connaught Place - DEL,110060,Rajender Nagar,North,1,1483,ARAMEX
South West Delhi,110061,Mahipalpur,North,1,1483,ARAMEX
South Delhi,110062,Nehru Place - Del,North,1,1483,ARAMEX
West Delhi,110063,Mayapuri,North,1,1483,ARAMEX
West Delhi,110064,Mayapuri,North,1,1483,ARAMEX
South Delhi,110065,Nehru Place - Del,North,1,1483,ARAMEX
South West Delhi,110066,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110067,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110068,Mahipalpur,North,1,1483,ARAMEX
Central Delhi,110069,Upsc-,North,1,1483,ARAMEX
South West Delhi,110070,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110071,Mahipalpur,North,1,1483,ARAMEX
South West Delhi,110072,Mahipalpur,North,1,1483,ARAMEX
