CityName,PinCode,Name of Location ,State Name,Region,COD,Provider,zone_id
Connaught Place - DEL,110001,Baroda House,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110002,Indraprastha,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110003,Lodi Road ,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110004,Rashtrapati Bhawan ,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110005,Anand Parbat,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110006,Baratooti ,Delhi,North,Y,ARAMEX,1483
North Delhi,110007,Mayapuri,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110008,Patel Nagar ,Delhi,North,Y,ARAMEX,1483
North West Delhi,110009,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110010,Mahipalpur,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110011,Nirman Bhawan,Delhi,North,Y,ARAMEX,1483
Central Delhi,110012,Mayapuri,Delhi,North,Y,ARAMEX,1483
South Delhi,110013,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South Delhi,110014,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
West Delhi,110015,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110016,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South Delhi,110017,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
West Delhi,110018,Mayapuri,Delhi,North,Y,ARAMEX,1483
South Delhi,110019,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South Delhi,110020,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South West Delhi,110021,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110022,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110023,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South Delhi,110024,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South Delhi,110025,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
West Delhi,110026,Mayapuri,Delhi,North,Y,ARAMEX,1483
West Delhi,110027,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110028,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110029,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110030,Mahipalpur,Delhi,North,Y,ARAMEX,1483
East Delhi,110031,East Delhi,Delhi,North,Y,ARAMEX,1483
North East Delhi,110032,East Delhi,Delhi,North,Y,ARAMEX,1483
North West Delhi,110033,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110034,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110035,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110036,Rithala,Delhi,North,Y,ARAMEX,1483
South West Delhi,110037,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110038,Mahipalpur,Delhi,North,Y,ARAMEX,1483
North West Delhi,110039,Rithala,Delhi,North,Y,ARAMEX,1483
North West Delhi,110040,Rithala,Delhi,North,Y,ARAMEX,1483
West Delhi,110041,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110042,Rithala,Delhi,North,Y,ARAMEX,1483
South West Delhi,110043,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South Delhi,110044,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South West Delhi,110045,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110046,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110047,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South Delhi,110048,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South Delhi,110049,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110050,Connaught Place - Del,Delhi,North,Y,ARAMEX,1483
East Delhi,110051,East Delhi,Delhi,North,Y,ARAMEX,1483
North West Delhi,110052,Mayapuri,Delhi,North,Y,ARAMEX,1483
North East Delhi,110053,East Delhi,Delhi,North,Y,ARAMEX,1483
North Delhi,110054,Mayapuri,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110055,A.K.Market ,Delhi,North,Y,ARAMEX,1483
North West Delhi,110056,Mayapuri,Delhi,North,Y,ARAMEX,1483
South West Delhi,110057,Mahipalpur,Delhi,North,Y,ARAMEX,1483
West Delhi,110058,Mayapuri,Delhi,North,Y,ARAMEX,1483
West Delhi,110059,Mahipalpur,Delhi,North,Y,ARAMEX,1483
Connaught Place - DEL,110060,Rajender Nagar,Delhi,North,Y,ARAMEX,1483
South West Delhi,110061,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South Delhi,110062,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
West Delhi,110063,Mayapuri,Delhi,North,Y,ARAMEX,1483
West Delhi,110064,Mayapuri,Delhi,North,Y,ARAMEX,1483
South Delhi,110065,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South West Delhi,110066,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110067,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110068,Mahipalpur,Delhi,North,Y,ARAMEX,1483
Central Delhi,110069,Upsc-,Delhi,North,Y,ARAMEX,1483
South West Delhi,110070,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110071,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110072,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110073,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110074,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110075,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South Delhi,110076,Nehru Place - Del,Delhi,North,Y,ARAMEX,1483
South West Delhi,110077,Mahipalpur,Delhi,North,Y,ARAMEX,1483
South West Delhi,110078,Mahipalpur,Delhi,North,Y,ARAMEX,1483
North West Delhi,110081,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110082,Rithala,Delhi,North,Y,ARAMEX,1483
North West Delhi,110083,Rithala,Delhi,North,Y,ARAMEX,1483
North Delhi,110084,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110085,Rithala,Delhi,North,Y,ARAMEX,1483
North West Delhi,110086,Mayapuri,Delhi,North,Y,ARAMEX,1483
West Delhi,110087,Mayapuri,Delhi,North,Y,ARAMEX,1483
North West Delhi,110088,Rithala,Delhi,North,Y,ARAMEX,1483
North West Delhi,110089,Rohini,Delhi,North,Y,ARAMEX,1483
East Delhi,110091,East Delhi,Delhi,North,Y,ARAMEX,1483
East Delhi,110092,East Delhi,Delhi,North,Y,ARAMEX,1483
North East Delhi,110093,East Delhi,Delhi,North,Y,ARAMEX,1483
North East Delhi,110094,East Delhi,Delhi,North,Y,ARAMEX,1483
North East Delhi,110095,East Delhi,Delhi,North,Y,ARAMEX,1483
East Delhi,110096,East Delhi,Delhi,North,Y,ARAMEX,1483
Central Delhi,110101,Connaught Place,Delhi,North,Y,ARAMEX,1483
Central Delhi,110103,Lodhi Road,Delhi,North,Y,ARAMEX,1483
Central Delhi,110104,Rastryapati Bhawan,Delhi,North,Y,ARAMEX,1483
Central Delhi,110105,Karol Bagh,Delhi,North,Y,ARAMEX,1483
Central Delhi,110106,Chandni Chowck,Delhi,North,Y,ARAMEX,1483
Central Delhi,110107,Kamla Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110108,Patel Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110109,Modol Town,Delhi,North,Y,ARAMEX,1483
Central Delhi,110110,Delhi Cant,Delhi,North,Y,ARAMEX,1483
Central Delhi,110112,Inder Puri,Delhi,North,Y,ARAMEX,1483
Central Delhi,110113,Nizamuddin,Delhi,North,Y,ARAMEX,1483
Central Delhi,110114,Aashram,Delhi,North,Y,ARAMEX,1483
Central Delhi,110115,Kirti Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110116,Hauz Khas,Delhi,North,Y,ARAMEX,1483
Central Delhi,110117,Malviya Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110118,Tilak Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110119,Nehru Place,Delhi,North,Y,ARAMEX,1483
Central Delhi,110120,Okhla,Delhi,North,Y,ARAMEX,1483
Central Delhi,110122,R K Puram,Delhi,North,Y,ARAMEX,1483
Central Delhi,110124,Lajpat Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110125,Jamia Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110301,Gandhi Nagar,Delhi,North,Y,ARAMEX,1483
Central Delhi,110302,Shahdra,Delhi,North,Y,ARAMEX,1483
Central Delhi,110501,Okhla,Delhi,North,Y,ARAMEX,1483
Central Delhi,110502,Asaf Ali Road,Delhi,North,Y,ARAMEX,1483
Central Delhi,110503,Lodhi Road,Delhi,North,Y,ARAMEX,1483
Central Delhi,110504,Ratriyapati Bhawan,Delhi,North,Y,ARAMEX,1483
Central Delhi,110510,Delhi Cant,Delhi,North,Y,ARAMEX,1483
Central Delhi,110511,Ministry,Delhi,North,Y,ARAMEX,1483
Central Delhi,110512,Inder Puri,Delhi,North,Y,ARAMEX,1483
Central Delhi,110601,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110602,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110603,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110604,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110605,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110606,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110607,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110608,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Central Delhi,110609,Safdarjung Enclave,Delhi,North,Y,ARAMEX,1483
Faridabad,121001,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121002,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121003,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121004,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121005,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121006,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121007,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121008,Faridabad,Haryana,NORTH,Y,ARAMEX,1486
Faridabad,121009,Faridabad,Delhi,North,Y,ARAMEX,1483
Faridabad,121102,Palwal,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122001,Gurgaon,Delhi,North,Y,ARAMEX,1483
Gurgaon,122002,Gurgaon,Delhi,North,Y,ARAMEX,1483
Gurgaon,122003,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122004,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122005,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122006,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122007,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122008,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122009,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122010,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122011,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122012,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
Gurgaon,122015,Gurgaon,Delhi,North,Y,ARAMEX,1483
Gurgaon,122016,Gurgaon,Delhi,North,Y,ARAMEX,1483
Gurgaon,122017,Gurgaon,Haryana,NORTH,Y,ARAMEX,1486
