Pincode,Location,Taluk,District,,State,,
744104,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744107,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744201,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744301,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744112,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744303,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744102,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744303,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744102,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744102,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744211,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744211,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744102,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744207,Hut Bay,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744209,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744301,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744210,Port Blair,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744304,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744301,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744203,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744101,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744304,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744301,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744101,Portblair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744303,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744304,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744104,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744207,Hut Bay,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744201,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744210,Port Blair,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744211,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744201,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744101,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744102,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744207,Hut Bay,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744205,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744210,Port Blair,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744301,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744302,Nancorie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744106,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744105,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744104,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744107,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744211,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744202,Diglipur,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744201,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744303,Carnicobar,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744303,Nancowrie,Taluk,Nicobar,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744209,Rangat,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744207,Hut Bay,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744103,Port Blair,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744204,Mayabander,Taluk,North And Middle Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
744206,Ferrargunj,Taluk,South Andaman,District,ANDAMAN & NICOBAR ISLANDS,State,
522101,Bapatla,Taluk,Guntur,District,ANDHRA PRADESH,State,
531022,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
531022,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
533408,Thondangi,Taluk,East Godavari,District,ANDHRA PRADESH,State,
533449,Gollaprolu,Taluk,East Godavari,District,ANDHRA PRADESH,State,
515004,Anantapur,Taluk,Ananthapur,District,ANDHRA PRADESH,State,
535281,Vepada,Taluk,Vizianagaram,District,ANDHRA PRADESH,State,
535218,Nellimarla,Taluk,Vizianagaram,District,ANDHRA PRADESH,State,
530003,Visakhapatnam (Urban),Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
533449,Gollaprolu,Taluk,East Godavari,District,ANDHRA PRADESH,State,
531027,Chodavaram,Taluk,Visakhapatnam,District,ANDHRA PRADESH,State,
516339,Chapad,Taluk,Cuddapah,District,ANDHRA PRADESH,State,
523171,Prakasam,Prakasam,District,ANDHRA PRADESH,ANDHRA PRADESH,,
520003,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
524002,Nellore,Taluk,Nellore,District,ANDHRA PRADESH,State,
500030,Rajendranagar,Taluk,K.V.Rangareddy,District,ANDHRA PRADESH,State,
534416,Kaikaram,Taluk,West Godavari,District,ANDHRA PRADESH,State,
518467,Kurnool,Taluk,Kurnool,District,ANDHRA PRADESH,State,
534197,Ganapavaramandalam,Taluk,West Godavari,District,ANDHRA PRADESH,State,
500004,Khairatabad,Taluk,Hyderabad,District,ANDHRA PRADESH,State,
500045,Khairatabad,Taluk,Hyderabad,District,ANDHRA PRADESH,State,
502032,Ramachandrapuram,Taluk,Medak,District,ANDHRA PRADESH,State,
518523,Nandyal,Taluk,Kurnool,District,ANDHRA PRADESH,State,
521226,A.Konduru,Taluk,Krishna,District,ANDHRA PRADESH,State,
505215,Ramagundam,Taluk,Karim Nagar,District,ANDHRA PRADESH,State,
517507,Tirupati (Rural),Taluk,Chittoor,District,ANDHRA PRADESH,State,
520012,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
520008,Vijayawada (Urban),Taluk,Krishna,District,ANDHRA PRADESH,State,
534456,Jeelugumilli,Taluk,West Godavari,District,ANDHRA PRADESH,State,
522004,Guntur,Taluk,Guntur,District,ANDHRA PRADESH,State,
533577,Amalapuram.,Taluk,East Godavari,District,ANDHRA PRADESH,State,
534267,Poduru (mdl),Taluk,West Godavari,District,ANDHRA PRADESH,State,
